id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,4537,92.2293165,64.01276874,0.719916226,4677,76.00452496,0.657536232,273.085,0.764509615,1.440795615,1
2,2872,74.69188071,51.40045446,0.725552747,3015,60.47101762,0.713008937,208.317,0.831658201,1.453136582,1
3,3048,76.2931638,52.04349114,0.731210927,3132,62.29634124,0.759153176,210.012,0.868433574,1.465950153,1
4,3073,77.03362772,51.92848667,0.738638695,3157,62.55129991,0.783528812,210.657,0.870203116,1.48345605,1
5,3693,85.12478457,56.37402054,0.749281579,3802,68.5716679,0.769375,230.332,0.874743279,1.51000024,1
6,2990,77.41707342,50.9543441,0.752860889,3080,61.70077989,0.584898279,216.93,0.798439143,1.519341968,1
7,3556,84.32356418,55.41306133,0.753761573,3636,67.28773901,0.750210971,227.007,0.867147782,1.521727227,1
8,3788,86.95241143,56.44476861,0.760664242,3866,69.44804818,0.80067639,235.476,0.85847279,1.540486631,1
9,2629,74.13311404,48.07414422,0.761228217,2790,57.8562595,0.640594542,207.325,0.768594199,1.542057903,1
10,5719,106.7211415,68.97769987,0.763053057,5819,85.33262539,0.754983498,281.839,0.904748313,1.547183245,1
11,2665,74.36402121,48.05318758,0.763177705,2777,58.25103765,0.596730855,202.456,0.817044617,1.547535657,1
12,3231,81.3042004,52.4511359,0.764079502,3330,64.13919994,0.614960031,218.773,0.848319358,1.550094178,1
13,2805,77.04768244,49.24267814,0.769107427,2950,59.76150034,0.603225807,209.823,0.800638639,1.564652561,1
14,3265,83.37848692,52.76486452,0.77428629,3420,64.47578703,0.575837743,227.853,0.790284652,1.580189539,1
15,4301,94.91539197,59.82281961,0.776371784,4427,74.00137351,0.801229508,257.607,0.814449173,1.586608465,1
16,3393,84.05848002,52.95148583,0.776646824,3477,65.72748113,0.68851461,224.485,0.846094886,1.587462159,1
17,3475,84.58114773,53.1912048,0.777504169,3539,66.5169709,0.652214715,221.295,0.891705551,1.590134084,1
18,4577,98.35854914,60.7533301,0.786435754,4652,76.33883282,0.591725921,259.184,0.856198377,1.618982021,1
19,3028,81.27755239,49.16736189,0.796277419,3114,62.09162054,0.753608761,211.667,0.849296679,1.653079386,1
20,3552,88.02937756,53.17603697,0.796930134,3654,67.24988374,0.623705004,232.122,0.82841931,1.65543321,1
21,3852,92.20828955,55.27701192,0.800389846,4023,70.03226918,0.653989813,245.517,0.803032283,1.668112772,1
22,3163,83.82327008,50.02465547,0.802399543,3232,63.46067034,0.584441981,221.38,0.811021355,1.675639128,1
23,3910,92.58932307,55.11140291,0.803559698,4067,70.5575412,0.622809812,252.523,0.770521464,1.680039305,1
