Temperature (C),Wind Speed (km/h),Pressure (millibars),Humidity
9.472222222,14.1197,1015.13,0.89
9.355555556,14.2646,1015.63,0.86
9.377777778,3.9284,1015.94,0.89
8.288888889,14.1036,1016.41,0.83
8.755555556,11.0446,1016.51,0.83
9.222222222,13.9587,1016.66,0.85
7.733333333,12.3648,1016.72,0.95
8.772222222,14.1519,1016.84,0.89
10.82222222,11.3183,1017.37,0.82
13.77222222,12.5258,1017.22,0.72
16.01666667,17.5651,1017.42,0.67
17.14444444,19.7869,1017.74,0.54
17.8,21.9443,1017.59,0.55
17.33333333,20.6885,1017.48,0.51
18.87777778,15.3755,1017.17,0.47
18.91111111,10.4006,1016.47,0.46
15.38888889,14.4095,1016.15,0.6
15.55,11.1573,1016.17,0.63
14.25555556,8.5169,1015.82,0.69
13.14444444,7.6314,1015.83,0.7
11.55,7.3899,1015.85,0.77
11.18333333,4.9266,1015.77,0.76
10.11666667,6.6493,1015.4,0.79
10.2,3.9284,1015.51,0.77
10.42222222,16.9855,1014.4,0.62
9.911111111,17.2109,1014.2,0.66
11.18333333,10.8192,1008.71,0.8
7.155555556,11.0768,1014.47,0.79
6.111111111,6.6493,1014.45,0.82
6.788888889,13.0088,1014.49,0.83
7.261111111,11.1734,1014.52,0.85
7.8,12.8156,1014.16,0.83
9.872222222,13.7494,1014.24,0.78
12.22222222,15.6331,1014.25,0.72
15.09444444,17.549,1013.96,0.61
17.35555556,22.7815,1013.85,0.52
19.00555556,23.8924,1013.04,0.46
20.04444444,28.3682,1012.22,0.4
21.05,26.9031,1011.44,0.4
21.18333333,25.6956,1010.52,0.37
20.11666667,25.3092,1009.83,0.4
20.21666667,18.1125,1009.26,0.36
20,23.4255,1008.76,0.43
17.8,20.0445,1008.36,0.5
16.06111111,21.3969,1008.11,0.53
15.02222222,21.3808,1008.15,0.55
14.42222222,20.0123,1007.85,0.58
14.25555556,16.5025,1007.89,0.59
13.77222222,17.0982,1007.36,0.6
13.28333333,14.3612,1007.26,0.63
