Date,Location,MinTemp,MaxTemp,Rainfall,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
01/12/2008,Albury,13.4,22.9,0.6,71,22,1007.7,1007.1,16.9,21.8,No,No
02/12/2008,Albury,7.4,25.1,0,44,25,1010.6,1007.8,17.2,24.3,No,No
03/12/2008,Albury,12.9,25.7,0,38,30,1007.6,1008.7,21,23.2,No,No
04/12/2008,Albury,9.2,28,0,45,16,1017.6,1012.8,18.1,26.5,No,No
05/12/2008,Albury,17.5,32.3,1,82,33,1010.8,1006,17.8,29.7,No,No
06/12/2008,Albury,14.6,29.7,0.2,55,23,1009.2,1005.4,20.6,28.9,No,No
07/12/2008,Albury,14.3,25,0,49,19,1009.6,1008.2,18.1,24.6,No,No
08/12/2008,Albury,7.7,26.7,0,48,19,1013.4,1010.1,16.3,25.5,No,No
09/12/2008,Albury,9.7,31.9,0,42,9,1008.9,1003.6,18.3,30.2,No,Yes
10/12/2008,Albury,13.1,30.1,1.4,58,27,1007,1005.7,20.1,28.2,Yes,No
11/12/2008,Albury,13.4,30.4,0,48,22,1011.8,1008.7,20.4,28.8,No,Yes
12/12/2008,Albury,15.9,21.7,2.2,89,91,1010.5,1004.2,15.9,17,Yes,Yes
13/12/2008,Albury,15.9,18.6,15.6,76,93,994.3,993,17.4,15.8,Yes,Yes
14/12/2008,Albury,12.6,21,3.6,65,43,1001.2,1001.8,15.8,19.8,Yes,No
16/12/2008,Albury,9.8,27.7,NA,50,28,1013.4,1010.3,17.3,26.2,NA,No
17/12/2008,Albury,14.1,20.9,0,69,82,1012.2,1010.4,17.2,18.1,No,Yes
18/12/2008,Albury,13.5,22.9,16.8,80,65,1005.8,1002.2,18,21.5,Yes,Yes
19/12/2008,Albury,11.2,22.5,10.6,47,32,1009.4,1009.7,15.5,21,Yes,No
20/12/2008,Albury,9.8,25.6,0,45,26,1019.2,1017.1,15.8,23.2,No,No
21/12/2008,Albury,11.5,29.3,0,56,28,1019.3,1014.8,19.1,27.3,No,No
22/12/2008,Albury,17.1,33,0,38,28,1013.6,1008.1,24.5,31.6,No,No
23/12/2008,Albury,20.5,31.8,0,54,24,1007.8,1005.7,23.8,30.8,No,No
24/12/2008,Albury,15.3,30.9,0,55,23,1011,1008.2,20.9,29,No,No
25/12/2008,Albury,12.6,32.4,0,49,17,1012.9,1010.1,21.5,31.2,No,No
26/12/2008,Albury,16.2,33.9,0,45,19,1010.9,1007.6,23.2,33,No,No
27/12/2008,Albury,16.9,33,0,41,28,1006.8,1003.6,26.6,31.2,No,No
28/12/2008,Albury,20.1,32.7,0,56,15,1005.2,1001.7,24.6,32.1,No,No
29/12/2008,Albury,19.7,27.2,0,49,22,1004.8,1004.2,21.6,26.1,No,Yes
30/12/2008,Albury,12.5,24.2,1.2,78,70,1005.6,1003.4,12.5,18.2,Yes,No
31/12/2008,Albury,12,24.4,0.8,48,28,1006.1,1005.1,16.9,22.7,No,No
01/01/2009,Albury,11.3,26.5,0,46,26,1004.5,1003.2,19.7,25.7,No,No
02/01/2009,Albury,9.6,23.9,0,44,22,1014.4,1013.1,14.9,22.1,No,No
03/01/2009,Albury,10.5,28.8,0,43,22,1018.7,1014.8,17.1,26.5,No,No
04/01/2009,Albury,12.3,34.6,0,41,12,1015.1,1010.3,20.7,33.9,No,No
05/01/2009,Albury,12.9,35.8,0,41,9,1012.6,1009.2,22.4,34.4,No,No
06/01/2009,Albury,13.7,37.9,0,33,8,1010.9,1006.7,23.1,36.8,No,No
07/01/2009,Albury,16.1,38.9,0,34,12,1007,1002.7,25.2,38.4,No,No
08/01/2009,Albury,14,28.3,0,43,15,1011.9,1010.9,17.9,27.6,No,No
09/01/2009,Albury,12.5,28.4,0,38,16,1017.8,1013.7,17.2,26.6,No,No
10/01/2009,Albury,17,30.8,0,36,24,1013.4,1008.1,20.2,29.3,No,No
11/01/2009,Albury,16.9,32,0,52,31,1009.9,1006.8,22.8,30,No,No
12/01/2009,Albury,17.3,34.7,0,48,16,1014.1,1012.1,24.2,33.2,No,No
13/01/2009,Albury,17.2,37.7,0,51,19,1015.7,1010.9,24.3,35.7,No,No
14/01/2009,Albury,17.4,43,0,40,8,1011.6,1006.9,25.6,41.5,No,No
15/01/2009,Albury,19.8,32.7,0,34,28,1008.4,1009.2,27.6,27.1,No,No
16/01/2009,Albury,14.9,26.7,0,46,20,1014.1,1012.7,18,25.5,No,No
17/01/2009,Albury,10.5,28.4,0,35,16,1019.7,1017.4,16,25.8,No,No
18/01/2009,Albury,11.3,32.2,0,34,17,1019.7,1016.2,20.9,30.5,No,No
19/01/2009,Albury,13.9,36.6,0,39,10,1015.8,1010.6,22,34.4,No,No
20/01/2009,Albury,18.6,39.9,0,36,21,1010.1,1004.8,26.8,37.7,No,No
21/01/2009,Albury,19.3,38.1,0.8,48,17,1009.6,1005.9,27.3,36.1,No,No
22/01/2009,Albury,24.4,34,0.6,60,39,1005.3,997.8,26.1,33.1,No,Yes
23/01/2009,Albury,18.8,35.2,6.4,43,28,1007.9,1003.9,22.8,33,Yes,No
24/01/2009,Albury,20.8,30.6,0,41,21,1005.4,1007.6,23.3,29.7,No,No
25/01/2009,Albury,14,34.3,0,44,10,1016.5,1014.6,21.2,32.1,No,No
26/01/2009,Albury,15.7,38.4,0,48,12,1017.7,1014.6,23.4,36.5,No,No
27/01/2009,Albury,18.5,38.2,0,48,25,1017.8,1014.1,25.8,36.2,No,No
28/01/2009,Albury,20.4,40.7,0,45,15,1014.9,1011.6,28.2,39.2,No,No
29/01/2009,Albury,21.8,41.5,0,38,13,1015.7,1011.8,29,40.1,No,No
30/01/2009,Albury,22.3,42.9,0,37,11,1014.6,1010.2,29.2,41.2,No,No
31/01/2009,Albury,22,42.7,0,33,11,1014.2,1010.5,29.9,42,No,No
01/02/2009,Albury,28,43.1,0,27,9,1012.5,1008.7,32.4,41.9,No,No
02/02/2009,Albury,24.4,38.3,0.2,32,21,1011.7,1007.4,28.8,37.1,No,No
03/02/2009,Albury,21.5,37.7,0,51,21,1009.2,1005.7,27.2,36.2,No,No
04/02/2009,Albury,21.7,36.9,0,53,26,1008.8,1004.7,25.5,35.2,No,No
05/02/2009,Albury,21.5,41.2,0,48,15,1005.9,1002.6,26.5,39.7,No,No
06/02/2009,Albury,23.5,42.2,0,39,8,1008,1005,28.7,41.6,No,No
07/02/2009,Albury,22.3,44.8,0,36,11,1008.2,1003.8,29.6,43.4,No,No
08/02/2009,Albury,28.3,40.2,0,20,19,1007,1006.5,34.5,38.5,No,No
09/02/2009,Albury,18.4,31.2,0.4,66,31,1009.3,1007.8,18.7,29.4,No,No
10/02/2009,Albury,14.9,27.3,0,50,30,1011.6,1008.5,17.4,25.8,No,No
11/02/2009,Albury,13.5,26.7,0,45,24,1012.8,1011.1,16.7,24.9,No,No
12/02/2009,Albury,16.1,21.6,0,58,69,1017,1017.3,17,17.3,No,Yes
13/02/2009,Albury,14.6,29,3,41,21,1023.3,1019.7,18,27.6,Yes,No
14/02/2009,Albury,12.4,29.2,0,37,18,1022.5,1016.4,18.3,28.5,No,No
